review,sentimento
"JOGO SIMPLESMENTE ABANDONADO PELA VALVE!!!  20 anos de experiência e não consigo ficar 1 mês sem ver o jogo sendo invadido por cheaters inúteis. Como é possível? Zero suporte, zero desenvolvimento.",NEGATIVA
top,NEUTRA
top,NEUTRA
"ótimo para se estressar e ao mesmo tempo esquecer da realidade, bom demais",POSITIVA
top,NEUTRA
É cs,NEUTRA
ate agora nao achei um hacker,NEGATIVA
jogo tri demais,NEUTRA
"joguin paia, mas é legal",POSITIVA
sada,NEUTRA
recomendo jogar de fone de ouvido mo legal ouvir os argentinos gemerem,POSITIVA
topi,NEUTRA
top,NEUTRA
.,NEUTRA
ok,POSITIVA
Cadê a lei Felca sendo aplicada,POSITIVA
Maneiro!,NEUTRA
eh daora,NEUTRA
ói,NEUTRA
belo jogo anti estresse bem estressante,NEGATIVA
Jogo muito bom,POSITIVA
Crossfire é melhor,POSITIVA
"Excelente jogo, não tem nada melhor",POSITIVA
top,NEUTRA
bom de mais,POSITIVA
"aprendi a colocar pressão nas pessoas, aprendi a lidar em situações desconfortáveis, aprendi a desenvolver estratégias e improvisar, se caso fosse preciso, melhorei minha coordenação motora fina, conheci pessoas incríveis, recomendo, mas tem que ter cabeça pra entrar nesse mundo maravilhoso chamado counter strike. Boa sorte, Boa vida, se cuide mais, se exercite e aprenda a ser uma pessoa melhor, você é especial irmão, o mundo precisa de pessoas que querem ser boas, assim como você quer um dia, não é? então aguente firme todos os seus problemas e siga em frente firme e forte, Deus é bom.",POSITIVA
topsss,NEUTRA
ok,POSITIVA
dhr,NEUTRA
Fps show,NEUTRA
legal,POSITIVA
muito bom,POSITIVA
"Infelizmente jogo tá cheio de pessoas tóxicas. Sendo assim, recomendo para maiores de 18 anos.",NEGATIVA
top,NEUTRA
prefiro o cs:go,NEUTRA
muito top,NEUTRA
muito bom,POSITIVA
top.,NEUTRA
"Joguei 10 minutos e descobri que sou daltônico. Agora só vejo a cor branca, porque meus aliados decidiram que eu sou o alvo principal de todas as flashbangs do time. Nota: 10/10. Minha retina nunca mais será a mesma.",NEUTRA
JOGO MUIT0 BOM,POSITIVA
jogo muito bom,POSITIVA
//,NEUTRA
melhor anticheat do mercado,POSITIVA
Muito xiter.,NEUTRA
"jogo lixo sem anticheat decente, só hack nessa merda de lixo de jogo",NEGATIVA
é,NEUTRA
tem muitos jogadores xenofobicos melhor comunidade do mundo,POSITIVA
Muito bom,POSITIVA
"para que duolingo se tu pode aprender sendo xingado em portugues, ingles, espanhol, russo, turco e qualquer outra lingua existente",NEGATIVA
"Eu gosto disso, é muito adulto",POSITIVA
